node_id,title,assimilation_state,behavior_validation,effectively_assimilated,active_complete_blockers,active_owners_ok,compact_layer,compact_ok,router_anchor_ok,deep_map_anchor_ok,bundle_loaded,regression_tests_count,old_text_handled,open_tension,author_gates,problems
NODE-CHOICE-GENERATION,Choice generation conditions and real selection events,active_complete,mixed,no,,yes,03_Bridges/SRT_Selection_Event_CompactCore.md,yes,yes,yes,yes,18,yes,Core/SRT_OPEN_TENSIONS.md#14,,
NODE-SELECTION-ONTOLOGY,Selection precedes stabilized existence,active_complete,untested,no,,yes,,n/a,no,yes,yes,0,yes,Core/SRT_OPEN_TENSIONS.md#13,,
NODE-L0-L1-L2,L0 / L1 / L2 ontology and domain split,active_complete,untested,no,,yes,,n/a,yes,yes,yes,0,yes,Core/SRT_OPEN_TENSIONS.md#4,,
NODE-D-VALUE,"d-value, stake, concern, bearing position",author_gate,not_applicable,no,"RQ-2026-08-A02 undecided; d/q/o embargoed from book, public content, bridge and paper",yes,,n/a,yes,yes,yes,0,no,Core/SRT_OPEN_TENSIONS.md#1,RQ-2026-08-A02: whether q is an independent axis or a post-stake-gate depth profile; whether o is operationalized and gets a symbol,
NODE-PSI-F,"Psi_f, payability, friction, cost",active_complete,untested,no,,yes,,n/a,yes,yes,yes,0,yes,Core/SRT_OPEN_TENSIONS.md#2,,
NODE-T-DIR,"T_dir, direction transparency, reorientation",partially_active,untested,no,EA-2: PH_AG02/PH_AG03 increments adjudicated but not written into _SRT_T_DIR_CANONICAL.md (0 matches for their content),yes,,n/a,yes,no,yes,0,no,Core/SRT_OPEN_TENSIONS.md#3,Two PH_AG partial hooks are blocked on a T_dir canonical writeback; that edit is C-class and needs separate authorization,
NODE-GHOST-OPERATOR,Ghost operator / selection operator G_hat_theta,partially_active,untested,no,EA-1: three ghost source cards never compressed into propositions (0 matches in Core_21_Minimal_Axioms.md or _SRT_SYMBOL_TABLE.md),yes,,n/a,yes,yes,yes,0,no,,,
NODE-SUBJECTHOOD,"Subjecthood, agency, identity closure, reselectability",partially_active,untested,no,EA-4: Philosophy/SRT_Philosophy_Agency_Subjecthood_v0_2.md appears in 0 of 8 context bundles,yes,,n/a,yes,no,no,0,no,Core/SRT_OPEN_TENSIONS.md#5,,
NODE-CONSCIOUSNESS,"Consciousness, integration, access, report, anchoring",partially_active,untested,no,EA-1: the five 2026-08-05 source cards' reverse corrections are in no compact layer (0 matches in SRT_Consciousness_Mechanisms_CompactCore.md),yes,Neuroscience/SRT_Consciousness_Mechanisms_CompactCore.md,yes,yes,yes,yes,0,no,,,
NODE-AI-REASONING,"AI reckoning, judgment, reasoning trace, real mechanism",engineered_not_active,untested,no,EA-2: AIREASON01 and AIEVID01 stop at the patch layer with no hook; AIGOAL01's hook is fully pending,yes,AI/SRT_AI_Architecture_CompactCore.md,yes,yes,no,yes,0,yes,Core/SRT_OPEN_TENSIONS.md#6,,route _SRT_DEEP_THEORY_MAP.md#13 names none of the node's files
NODE-NEURAL-DECODABILITY,"Neural decodability, stabilization, memory admission, energy payment",engineered_not_active,untested,no,EA-2: five hooks fully pending; NEURAL18 has no hook; the named synthesis file was never created,yes,Neuroscience/SRT_Neural_Mechanisms_CompactCore.md,yes,no,yes,yes,0,no,,"Whether Neuroscience/SRT_Neuroscience_Hardening_N1_N12_v0_2.md is created at all, or NEURAL18/21/22 retarget the compact core",
NODE-LIFE-DISSIPATIVE,"Life, self-maintenance, dissipative structures vs selection structures",partially_active,untested,no,EA-4: only T-E's stratification verdict reached the fast layer; its substrate/mechanism/sufficiency three-way distinction is in no compact (0 matches),yes,03_Bridges/SRT_Selection_Event_CompactCore.md,yes,yes,yes,yes,18,yes,Core/SRT_OPEN_TENSIONS.md#14,,
NODE-PHYSICS-MEASUREMENT,"Physical measurement, fact formation, representation covariance, composition rules",engineered_not_active,untested,no,"EA-2: three hooks target Physics/SRT_Physics_Bridge_v0_2.md, which does not exist; P06/P07/P08/REP01 have no hook",yes,,n/a,no,yes,yes,0,no,,RQ-2026-08-A04: P03/P04/P05 land in a new SRT_Physics_Bridge_v0_2.md or merge into the existing _SRT_Phys_Bridge.md,route _SRT_CONTEXT_ROUTER.md#9 names none of the node's files
NODE-SOCIAL-L2,"Institutions, responsibility, consequence outsourcing, L2 hardening",partially_active,untested,no,EA-2: SEA protocol and coding manual are Operations-only; 0 matches in SRT_Soc_03_Institutions.md or SRT_Collective_Selection.md,yes,Philosophy/SRT_Political_Philosophy_CompactCore.md,yes,yes,yes,yes,0,yes,,,
NODE-ENTROPY-REORG,"Entropy, disturbance, selective reorganization, generative health",partially_active,untested,no,EA-4: T-B process layer and the pain/distress/suffering typology interface appear in no CompactCore,yes,03_Bridges/SRT_Selection_Event_CompactCore.md,yes,yes,yes,yes,18,yes,Core/SRT_OPEN_TENSIONS.md#12,,
NODE-BOOK-BACKFLOW,Book concepts that have not flowed back to the theory layer,engineered_not_active,untested,no,EA-2: 第三态能动性 / 被排开者去向三分 / 自检三问 have no theory owner at all,yes,,n/a,no,no,yes,0,no,,,route _SRT_CONTEXT_ROUTER.md#19 names none of the node's files
